lat,lon,date,temp,precip,is_fire
38.980846,-123.067671,7/23/2013,23.2,0,TRUE
40.373,-122.7338,7/9/2013,27.2,0,TRUE
33.96936,-117.1265,6/8/2013,20.5,0,TRUE
37.667295,-122.427285,9/7/2013,20.7,0,TRUE
37.342186,-121.717706,12/31/2013,8.2,0,TRUE
33.7655,-117.6649,10/6/2013,22.6,0,TRUE
33.570291,-116.10815,8/16/2013,37.7,0,TRUE
33.9634,-117.2508,7/19/2013,25.1,0,TRUE
34.001745,-117.302057,6/14/2013,20.4,0,TRUE
33.655638,-116.161201,5/16/2013,28.7,0,TRUE
38.89555,-120.84716,8/24/2013,22.7,0,TRUE
39.1591,-122.5906,8/7/2013,17.5,0,TRUE
37.74241,-121.86216,7/6/2013,19,0,TRUE
36.763367,-119.558244,6/13/2013,24.3,0,TRUE
35.49864,-120.91375,5/20/2013,20.8,0,TRUE
40.483662,-122.140914,11/7/2013,14.8,0,TRUE
37.965364,-120.696362,7/22/2013,25.3,0.07,TRUE
38.9777,-122.683,9/15/2013,18.4,0,TRUE
38.99233,-122.703193,6/5/2013,18.5,0,TRUE
34.288877,-116.941311,4/20/2013,10,0,TRUE
38.4229,-122.0437,6/10/2013,17.2,0.04,TRUE
38.4229,-122.0437,6/10/2013,17.2,0.04,TRUE
38.4229,-122.0437,6/10/2013,17.2,0.04,TRUE
38.4229,-122.0437,6/10/2013,17.2,0.04,TRUE
40.473356,-122.48259,8/14/2013,27.9,0,TRUE
32.612773,-116.707335,7/28/2013,18.4,0,TRUE
38.98058,-122.81796,6/20/2013,17.6,0,TRUE
33.96201,-116.907213,5/20/2013,20.9,0,TRUE
38.9289,-122.5818,11/23/2013,12.7,0,TRUE
33.94528,-117.09306,7/19/2013,24.8,0,TRUE
41.333,-123.376,8/3/2013,17.1,0.19,TRUE
33.99647,-116.84137,6/9/2013,24.1,0,TRUE
38.805437,-120.629714,9/13/2014,27.5,0,TRUE
40.901,-121.368,7/30/2014,24.7,0.6,TRUE
42.048,-122.345,7/30/2014,26.1,0.18,TRUE
40.72,-121.562,7/31/2014,32.6,0,TRUE
41.1336,-121.2144,7/30/2014,23.9,0,TRUE
40.4314,-122.750788,7/11/2014,26.7,0.15,TRUE
38.512,-122.104,7/4/2014,22.4,0,TRUE
41.141,-122.805,7/30/2014,25.3,0.03,TRUE
41.682,-122.127,7/31/2014,25.7,0,TRUE
33.3529,-117.284889,5/14/2014,25.2,0,TRUE
38.664,-122.454,7/1/2014,17.5,0,TRUE
38.664,-122.454,7/1/2014,17.5,0,TRUE
38.5691,-120.7819,7/25/2014,27.1,0,TRUE
38.5691,-120.7819,7/25/2014,27.1,0,TRUE
35.7206,-118.4747,8/18/2014,28.2,0,TRUE
35.70683,-118.555527,6/13/2014,22.8,0,TRUE
34.169346,-117.547374,4/30/2014,26.3,0,TRUE
33.1137,-117.1599,5/14/2014,27.8,0,TRUE
34.1703,-117.8816,1/16/2014,19.8,0,TRUE
35.642,-118.15,7/11/2014,27.3,0,TRUE
41.89,-120.79,7/1/2014,25.1,0,TRUE
33.003,-117.133,5/13/2014,26.1,0,TRUE
41.489,-120.904,7/3/2014,23.4,0,TRUE
33.417572,-117.550567,5/16/2014,22.6,0,TRUE
40.7101,-122.171,9/10/2014,26.4,0,TRUE
33.748,-117.601,9/12/2014,26.1,0,TRUE
40.134597,-121.790183,1/2/2014,9.5,0,TRUE
34.609,-120.454,5/13/2014,20.8,0,TRUE
37.3433,-119.6581,8/18/2014,25.2,0,TRUE
33.1109,-117.279,5/14/2014,28.8,0,TRUE
40.7412,-122.946,8/24/2014,23.8,0,TRUE
41.42384,-122.37432,9/15/2014,20.9,0,TRUE
37.76617,-120.45087,6/4/2014,23.5,0,TRUE
36.6313,-121.4819,3/19/2014,14.9,0,TRUE
33.312,-117.162,5/14/2014,25.8,0,TRUE
40.884415,-123.773779,1/4/2014,6.9,0,TRUE
37.311915,-119.604124,9/14/2014,27.9,0,TRUE
37,40.34,10/7/2014,23.1,0,TRUE
34.267,-117.867,8/17/2014,28.1,0,TRUE
37.787,-120.452,6/5/2014,25.3,0,TRUE
39.113682,-120.999508,9/13/2014,26.7,0,TRUE
40.009827,-122.345078,6/13/2014,24.1,0,TRUE
33.078948,-116.576454,7/3/2014,23.1,0,TRUE
41.134,-123.753,9/12/2014,11.6,0,TRUE
34.235,-117.771,8/14/2014,25.1,0,TRUE
39.1647,-122.5983,5/25/2014,21.7,0,TRUE
40.6569,-122.2215,7/9/2014,30.7,0,TRUE
37.7103,-120.197,6/10/2014,25.8,0,TRUE
32.81,-116.49,3/8/2014,18.1,0,TRUE
120.679019,38.178241,6/20/2014,,,TRUE
37.399,-118.352,4/19/2014,17.7,0,TRUE
36.8266,-119.3415,1/25/2014,14.9,0,TRUE
41.507,-121.266,8/12/2014,18.1,1.1,TRUE
38.59,-120.028,9/14/2014,17.6,0,TRUE
38.058,-120.66,6/22/2014,21.7,0.07,TRUE
39.3918,-120.0805,8/18/2014,17.8,0,TRUE
37.5359,-121.5118,7/11/2014,19.7,0,TRUE
40.5719,-121.3415,7/5/2014,22,0,TRUE
36.103,-121.117,4/30/2014,22.6,0,TRUE
39.4664,-121.6129,7/14/2014,32.2,0,TRUE
37.8316,-120.3434,9/4/2014,23.3,0,TRUE
121.999,38.453,6/12/2014,,,TRUE
33.5982,-116.1985,3/28/2014,20.1,0,TRUE
40.39,-122.721,5/14/2014,24.7,0,TRUE
33.93869,-117.70643,10/16/2014,18.8,0,TRUE
35.8218,-121.0226,7/7/2014,24.5,0,TRUE
36.991825,-119.525506,6/9/2014,32.7,0,TRUE
39.1871,-121.2687,7/7/2014,28,0,TRUE
38.608336,-120.703238,7/9/2014,27.2,0,TRUE
32.665,-116.222,5/5/2014,24.2,0,TRUE
38.695961,-122.384054,9/11/2014,21.1,0,TRUE
40,29.24,8/29/2014,23.4,0,TRUE
36.742747,-119.241493,6/11/2014,27.7,0,TRUE
38.9195001,-120.1140659,9/25/2014,13.4,4.56,TRUE
32.59154,-116.89516,8/16/2014,23.9,0,TRUE
40.41,-123.24,7/1/2014,26.1,0,TRUE
37,18.4,8/26/2014,26,0,TRUE
41.796,-123.374,8/11/2014,21.7,0,TRUE
36.874,-118.905,7/31/2015,29.7,0.1,TRUE
38.8863538,-122.4762475,7/29/2015,23.7,0,TRUE
34.16027778,-116.8927778,6/17/2015,21.5,0,TRUE
38.8142503,-122.4867319,8/9/2015,20.4,0,TRUE
38.8142503,-122.4867319,8/9/2015,20.4,0,TRUE
40.938,-120.105,8/3/2015,21.5,0,TRUE
36.24,-118.54,7/19/2015,26.7,0,TRUE
37.279722,-119.50014,7/25/2015,23.9,0,TRUE
41.399,-121.392,7/30/2015,23,0,TRUE
34.339,-117.478,7/17/2015,25.5,0,TRUE
37.3845,-121.3732,8/19/2015,22.1,0,TRUE
35.3477,-120.6269,8/16/2015,23.1,0,TRUE
39.192088,-120.882313,7/25/2015,20.9,0,TRUE
40.924,-123.168,6/10/2015,19,0,TRUE
36.3699644,-121.589554,9/19/2015,19.2,0,TRUE
33.884313,-117.642759,4/18/2015,17.7,0,TRUE
39.5218,-121.3363,9/11/2015,29.6,0,TRUE
37.165767,-119.523943,6/18/2015,27.2,0,TRUE
55.23,-122,9/2/2015,5.1,0,TRUE
36.70854,-121.32734,10/12/2015,20.3,0,TRUE
33.5736,-116.5387,8/10/2015,32.2,0,TRUE
36.085212,-118.824235,7/21/2015,29.6,0,TRUE
34.361007,-118.535793,6/24/2015,24.5,0,TRUE
39.43963,-121.38794,7/29/2015,31,0,TRUE
37.08312,-121.06963,5/11/2015,15.7,0,TRUE
38.925764,-122.879272,8/22/2015,19.3,0,TRUE
33.7626,-117.7274,7/13/2015,22.9,0,TRUE
40.415108,-122.439939,7/29/2015,33.8,0,TRUE
37.823,-120.15644,7/29/2015,27.2,0,TRUE
34.367,-117.683,7/17/2015,25.6,0,TRUE
41.485,-121.851,2/24/2015,4.3,0,TRUE
37.81629,-121.68113,7/30/2015,25.6,0,TRUE
41.8048,-122.5029,7/13/2015,19.5,14.42,TRUE
32.9421,-116.8534,6/17/2015,21.7,0,TRUE
40.400196,-120.553075,9/9/2015,21.8,0,TRUE
39.8448,-122.3638,7/4/2015,31.7,0,TRUE
33.383889,-116.868611,7/24/2015,22.5,0,TRUE
41.295667,-123.784067,7/24/2015,14.9,0,TRUE
39.2688,-121.26471,6/18/2015,25.6,0,TRUE
38.4113,-122.0789,7/6/2015,23.3,0,TRUE
40.1058823,-124.0720419,8/18/2015,14.5,0,TRUE
40.05083333,-120.7016667,4/13/2015,7.8,0,TRUE
37.072561,-119.6958,6/21/2015,27.5,0,TRUE
40.724898,-122.96174,8/25/2015,25.1,0,TRUE
41.29226,-121.172117,7/23/2015,18.9,0,TRUE
38.052,-120.5577,8/13/2015,23.9,0,TRUE
37.83618,-120.61691,8/15/2015,27,0,TRUE
40.3506868,-121.7786799,8/8/2015,26.6,0,TRUE
40.47512,-122.52541,9/11/2015,29.1,0,TRUE
38.04684,-120.30188,9/8/2015,24.5,0,TRUE
39.8707,-121.8938,10/2/2015,22,0,TRUE
34.165974,-117.243878,6/25/2015,26.4,0,TRUE
36.5696373,-121.7556029,9/19/2015,18.6,0,TRUE
35.7183,-121.0157,7/10/2015,19,0,TRUE
40.49865,-122.20109,7/30/2015,33.7,0,TRUE
36.49845,-118.9009,7/30/2015,30,0,TRUE
32.6449163,-116.9454387,6/26/2015,20.6,0,TRUE
40.856422,-121.101623,7/23/2015,16.7,0,TRUE
40.67868,-121.93244,8/2/2015,27.6,0,TRUE
40.509552,-122.199227,7/29/2015,34.3,0,TRUE
38.776,-120.404,7/23/2015,19.1,0,TRUE
26.42,-121,9/2/2015,22.3,0,TRUE
35.77937,-120.19482,6/15/2015,21.1,0,TRUE
40.875667,-121.033667,6/19/2015,20.1,0,TRUE
38.260777,-121.135426,6/16/2015,23,0.05,TRUE
40.3929,-122.40546,8/3/2015,27.8,0,TRUE
34.23,-116.883,8/23/2015,17.9,0,TRUE
33.4115972,-117.2886249,8/9/2015,19.7,0,TRUE
40.0133,-122.552,6/17/2015,29.2,0,TRUE
34.0783472,-117.0487863,7/12/2015,18.7,0,TRUE
34.9522,-120.2903,8/1/2015,19.3,0,TRUE
34.15,-118.879444,11/7/2015,20,0.05,TRUE
39.43301,-123.36316,7/30/2015,26.3,0,TRUE
40.400196,-120.553075,9/9/2015,21.8,0,TRUE
37.24523,-121.20324,7/28/2015,24.1,0,TRUE
38.1029,-122.1578,7/10/2015,18.7,0,TRUE
