,lat,lon,date,temp,precip
0,40.400196,-120.553075,09/09/2015,21.8,0.0
0,37.24523,-121.20324,07/28/2015,24.1,0.0
0,38.1029,-122.1578,07/10/2015,18.7,0.0
0,38.5287,-122.3415,06/16/2015,18.6,0.0
0,0.0,0.0,06/09/2015,24.1,0.0
0,40.0,41.46,09/08/2015,19.1,0.0
0,0.0,0.0,07/03/2015,23.6,0.4
0,39.7806004,-123.248214,06/28/2015,24.1,0.0
0,39.081,-121.194,09/22/2015,24.2,0.0
0,41.12362,-121.194256,08/29/2015,20.7,0.0
0,39.33303,-121.18735,08/03/2015,24.0,0.0
0,0.0,0.0,11/11/2015,26.4,0.2
0,38.9361,-121.1548,07/22/2015,24.2,0.0
0,32.682547,-116.51684,07/24/2015,22.9,0.0
0,36.8727,-121.5681,07/20/2015,23.5,0.0
0,33.21407,-116.73472,07/16/2015,20.4,0.0
0,0.0,0.0,07/02/2015,23.7,0.0
0,0.0,0.0,06/07/2015,24.6,0.0
0,0.0,0.0,06/05/2015,24.9,0.0
0,0.0,0.0,06/05/2015,24.9,0.0
0,41.999341,-121.891226,07/21/2015,21.3,0.43
0,39.0263,-123.303,07/04/2015,24.7,0.0
0,38.831478,-122.53428,08/24/2015,20.2,0.0
0,34.4828,-119.63216,10/29/2015,21.5,0.0
0,33.986204,-117.43942,07/12/2015,23.9,0.0
0,41.1513,-123.8292,06/10/2015,12.8,0.0
0,38.519132,-122.181878,06/27/2015,22.8,0.0
0,40.5953,-122.4397,07/07/2015,27.3,0.0
0,40.1093,-123.774,07/28/2015,17.4,0.0
0,0.0,0.0,07/30/2015,23.4,0.0
0,38.598056,-119.751944,06/19/2015,20.0,0.0
0,36.45994,-121.89938,07/22/2016,15.1,0.0
0,35.6115,-118.45628,06/23/2016,27.5,0.14
0,35.70595,-120.98316,08/13/2016,24.2,0.0
0,34.30372,-117.49342,08/16/2016,28.7,0.0
0,41.851,-123.118,08/27/2016,23.9,0.0
0,0.0,0.0,08/18/2016,24.2,4.8
0,35.7506,-118.5678,08/16/2016,27.6,0.0
0,34.63445,-120.54421,09/17/2016,15.4,0.0
0,34.28771,-117.27338,08/07/2016,21.5,0.0
0,32.60729,-116.63028,06/19/2016,26.4,0.0
0,34.776,-119.643,06/15/2016,16.2,0.1
0,36.09974,-120.51057,08/09/2016,21.0,0.0
0,38.52513,-122.06788,08/02/2016,22.9,0.0
0,38.96741,-120.9375,06/28/2016,29.7,0.0
0,38.96741,-120.9375,06/28/2016,29.7,0.0
0,37.75985,-118.95309,09/17/2016,14.9,0.0
0,0.0,0.0,06/20/2016,25.8,0.0
0,34.31,-118.335,11/14/2016,21.6,0.0
0,37.10632,-121.85318,09/26/2016,25.0,0.0
0,35.984,-118.551,10/29/2016,18.8,0.0
0,38.89741,-122.60664,08/13/2016,19.3,0.05
0,36.38123,-121.20059,05/22/2016,14.0,0.05
0,0.0,0.0,05/18/2016,27.1,0.6
0,36.0749,-120.452041,07/01/2016,25.9,0.0
0,41.623,-123.557,06/07/2016,13.3,0.36
0,0.0,0.0,08/04/2016,24.5,0.0
0,41.2649,-120.3178,09/17/2016,16.3,0.0
0,40.3915,-120.7845,09/11/2016,19.4,0.0
0,36.01542,-121.25029,06/04/2016,21.4,0.0
0,34.701,-119.144,06/30/2016,22.2,0.05
0,37.01591,-119.50507,07/30/2016,32.3,0.0
0,36.94536,-119.25959,10/11/2016,19.4,0.0
0,35.20993,-118.72272,07/01/2016,27.4,0.0
0,38.80017,-122.82895,09/25/2016,21.5,0.0
0,0.0,0.0,08/30/2016,25.2,0.6
0,37.07147,-121.20155,06/25/2016,20.1,0.0
0,33.393,-117.35093,07/21/2016,24.8,0.0
0,34.36763,-118.57245,07/09/2016,23.9,0.0
0,37.79635,-120.32484,09/26/2016,23.6,0.0
0,39.6871,-121.571,09/05/2016,21.9,0.0
0,41.7813,-122.611,08/24/2016,21.0,0.0
0,37.97,-119.14,06/25/2016,18.4,0.0
0,41.28486,-123.82268,08/22/2016,12.1,0.0
0,34.913,118.9082,07/08/2016,26.5,0.3
0,39.6708,-121.7192,08/02/2016,26.0,0.0
0,35.2013,-118.7212,08/26/2016,22.6,0.0
0,40.0353,-122.56939,06/30/2016,32.4,0.1
0,38.1874,-120.6381,08/28/2016,22.8,0.0
0,40.36873,-122.72913,07/08/2016,23.3,0.0
0,36.16965,-121.38775,08/18/2016,15.6,0.0
0,36.1648,-118.73906,08/22/2016,25.8,0.0
0,41.4657,-120.9066,09/11/2016,17.7,0.0
0,38.385,-121.003611,06/28/2016,28.6,0.0
0,40.30594,-122.1295,09/13/2016,18.0,0.0
0,38.08056,-120.81394,07/12/2016,24.2,0.0
0,38.02845,-120.61153,07/02/2016,26.9,0.0
0,0.0,0.0,09/19/2016,25.3,0.0
