,lat,lon,date,temp,precip
0,39.82877,-123.08489,07/31/2018,27.8,0.0
0,39.77124,-121.76859,07/12/2018,29.9,0.0
0,40.33682,-121.93908,07/09/2018,28.5,0.0
0,38.42623,-120.95408,07/06/2018,25.6,0.0
0,38.59694444,-121.99388889,07/18/2018,26.3,0.0
0,38.82426,-121.451307,08/01/2018,25.6,0.0
0,35.79012,-118.7393,08/15/2018,27.1,0.0
0,36.00912,-120.82226,08/11/2018,24.8,0.0
0,40.3768,-120.36403,06/14/2018,20.9,0.0
0,37.75646,-121.60646,07/08/2018,23.8,0.0
0,37.83388,-120.61746,09/08/2018,25.6,0.0
0,39.36529,-121.51707,10/30/2018,16.4,0.0
0,36.378333,-120.901167,06/04/2018,17.1,0.0
0,32.833674,-116.7311,07/06/2018,29.6,0.0
0,37.75375,-121.57918,05/30/2018,15.7,0.0
0,40.316137,-120.45053,06/27/2018,21.4,0.0
0,36.35502,-121.1563,09/13/2018,16.2,0.0
0,35.95515,-120.86256,06/26/2018,21.2,0.0
0,35.51777778,-118.6525,08/18/2018,29.6,0.0
0,33.07892,-116.91845,07/27/2018,25.9,0.0
0,37.38789,-119.68912,09/22/2018,22.8,0.0
0,39.59872,-121.78208,06/26/2018,26.1,0.0
0,37.735461,-118.970443,07/31/2018,21.5,0.0
0,40.52909,-122.17457,06/23/2018,31.6,0.0
0,37.449425,-121.88807,07/22/2018,21.7,0.0
0,38.539806,-121.059979,07/04/2018,19.3,0.0
0,40.60402,-122.9144,06/28/2018,26.3,0.0
0,37.10181,-119.623981,06/04/2018,27.8,0.0
0,33.389425,-117.502405,05/04/2018,20.1,0.0
0,0.0,0.0,05/16/2018,27.1,2.3
0,38.061298,-120.872244,08/06/2018,25.6,0.0
0,37.197039,-120.002619,08/23/2018,23.9,0.0
0,33.836101,-117.607577,07/19/2018,25.7,0.0
0,36.65351,-121.0454,07/11/2018,17.1,0.0
0,37.94714,-121.9921,06/29/2018,24.1,0.0
0,40.18395,-122.27574,06/23/2018,32.1,0.0
0,32.63046,-116.46674,06/06/2018,18.4,0.0
0,40.34256,-121.43025,09/28/2018,22.9,0.0
0,35.33916,-120.71488,06/26/2018,16.8,0.0
0,34.0232,-119.76576,03/27/2018,14.6,0.0
0,33.076239,-116.902985,08/09/2018,28.4,0.0
0,37.89612,-121.85847,07/25/2018,24.2,0.0
0,41.70877,-122.47293,07/15/2018,24.5,2.09
0,41.085,-123.051,07/01/2018,25.5,0.0
0,36.37532,-120.862579,06/12/2018,18.7,0.0
0,33.41476,-117.24044,07/28/2018,22.5,0.0
0,33.571763,-116.500058,07/26/2018,38.2,0.0
0,34.91482,-118.92485,09/12/2018,21.7,0.0
0,37.33924,-120.24315,06/07/2018,19.7,0.0
0,39.491737,-121.637759,07/04/2018,23.0,0.0
0,34.26734825,-118.64381589,11/12/2018,19.0,0.0
0,37.05876,-121.176354,06/17/2018,15.7,0.0
0,37.97638,-122.5275,06/09/2018,17.0,0.0
0,33.55132,-117.72044,06/02/2018,19.8,0.0
0,34.576944,-119.61416,09/01/2018,19.3,0.0
0,40.12791,-122.19792,06/23/2018,32.0,0.0
0,36.18401,-120.69955,10/13/2018,17.7,0.0
0,40.34822,-120.82497,07/24/2018,27.5,0.0
0,34.2325,-117.846111,09/09/2018,27.2,0.0
0,37.80785,-120.30187,06/24/2018,25.5,0.0
0,38.45673,-121.94658,10/12/2018,19.5,0.0
0,40.36888889,-122.89055556,08/19/2018,27.6,0.0
0,33.787838,-117.746625,06/11/2018,22.3,0.0
0,33.925862,-117.654299,06/12/2018,24.4,0.0
0,38.02447,-122.727,09/10/2018,17.6,0.0
0,34.30166667,-119.09916667,11/15/2018,17.7,0.0
0,35.97677,-121.24898,10/02/2018,19.3,0.0
0,38.94388,-120.92611,09/04/2018,25.9,0.0
0,34.18075,-117.43184,11/13/2018,17.1,0.0
0,38.08424,-120.46078,08/05/2018,23.6,0.0
0,38.51943,-122.18353,07/28/2018,22.6,0.0
0,34.38039,-118.60441,07/23/2018,29.7,0.0
0,39.46543,-122.65582,06/01/2018,18.7,0.0
0,41.65935,-122.48556,05/09/2018,16.5,0.0
0,34.15475,-117.244366,08/31/2018,23.9,0.0
0,36.47766,-119.10433,10/24/2018,15.9,0.0
0,39.996944,-121.27,08/07/2018,26.6,0.0
0,36.59036,-120.82355,07/12/2018,20.4,0.0
0,37.06367,-121.53586,07/06/2018,21.5,0.0
0,37.707234,-120.199162,06/18/2018,17.8,0.0
0,35.56888889,-118.80138889,08/16/2018,28.6,0.0
0,34.463889,-119.831389,07/06/2018,25.9,0.0
0,34.62412,-120.22298,07/20/2018,21.4,0.0
0,36.75581,-119.42172,05/26/2018,18.9,0.0
0,38.8802,-123.0496,08/01/2018,22.2,0.0
0,39.02017,-122.57496,08/26/2018,17.2,0.0
