,Unnamed: 0,lat,lon,date,temp,precip,is_fire
100,0,34.384,-119.13249,11/14/2013,17.2,0.0,True
101,0,38.838,-116.61,8/6/2013,22.4,0.0,True
102,0,33.91027,-116.99895,8/4/2013,21.6,0.0,True
103,0,39.333401,-121.107022,8/31/2013,25.3,0.0,True
104,0,35.457978,-120.751555,11/8/2013,13.3,0.0,True
105,0,39.0448,-122.7656,11/23/2013,11.9,0.0,True
106,0,41.923323,-122.578393,8/15/2013,22.9,0.0,True
107,0,37.1438,-121.7804,7/12/2013,16.1,0.0,True
108,0,37.7393,-121.5869,7/4/2013,29.0,0.0,True
109,0,35.5123,-120.6368,5/25/2013,14.0,0.0,True
110,0,38.06231,-120.45233,8/17/2013,25.8,0.0,True
111,0,37.03087,-119.463757,6/17/2013,25.2,0.0,True
112,0,38.980846,-123.067671,7/23/2013,23.2,0.0,True
113,0,40.373,-122.7338,7/9/2013,27.2,0.0,True
114,0,33.96936,-117.1265,6/8/2013,20.5,0.0,True
115,0,37.667295,-122.427285,9/7/2013,20.7,0.0,True
116,0,37.342186,-121.717706,12/31/2013,8.2,0.0,True
117,0,33.7655,-117.6649,10/6/2013,22.6,0.0,True
118,0,33.570291,-116.10815,8/16/2013,37.7,0.0,True
119,0,33.9634,-117.2508,7/19/2013,25.1,0.0,True
120,0,34.001745,-117.302057,6/14/2013,20.4,0.0,True
121,0,33.655638,-116.161201,5/16/2013,28.7,0.0,True
122,0,38.89555,-120.84716,8/24/2013,22.7,0.0,True
123,0,39.1591,-122.5906,8/7/2013,17.5,0.0,True
124,0,37.74241,-121.86216,7/6/2013,19.0,0.0,True
125,0,36.763367,-119.558244,6/13/2013,24.3,0.0,True
126,0,35.49864,-120.91375,5/20/2013,20.8,0.0,True
127,0,40.483662,-122.140914,11/7/2013,14.8,0.0,True
128,0,37.965364,-120.696362,7/22/2013,25.3,0.07,True
129,0,38.9777,-122.683,9/15/2013,18.4,0.0,True
130,0,38.99233,-122.703193,6/5/2013,18.5,0.0,True
131,0,34.288877,-116.941311,4/20/2013,10.0,0.0,True
132,0,38.4229,-122.0437,6/10/2013,17.2,0.04,True
133,0,38.4229,-122.0437,6/10/2013,17.2,0.04,True
134,0,38.4229,-122.0437,6/10/2013,17.2,0.04,True
135,0,38.4229,-122.0437,6/10/2013,17.2,0.04,True
136,0,40.473356,-122.48259,8/14/2013,27.9,0.0,True
137,0,32.612773,-116.707335,7/28/2013,18.4,0.0,True
138,0,38.98058,-122.81796,6/20/2013,17.6,0.0,True
139,0,33.96201,-116.907213,5/20/2013,20.9,0.0,True
140,0,38.9289,-122.5818,11/23/2013,12.7,0.0,True
141,0,33.94528,-117.09306,7/19/2013,24.8,0.0,True
142,0,41.333,-123.376,8/3/2013,17.1,0.19,True
143,0,33.99647,-116.84137,6/9/2013,24.1,0.0,True
144,0,38.805437,-120.629714,9/13/2014,27.5,0.0,True
145,0,40.901,-121.368,7/30/2014,24.7,0.6,True
146,0,42.048,-122.345,7/30/2014,26.1,0.18,True
147,0,40.72,-121.562,7/31/2014,32.6,0.0,True
148,0,41.1336,-121.2144,7/30/2014,23.9,0.0,True
149,0,40.4314,-122.750788,7/11/2014,26.7,0.15,True
150,0,38.512,-122.104,7/4/2014,22.4,0.0,True
151,0,41.141,-122.805,7/30/2014,25.3,0.03,True
152,0,41.682,-122.127,7/31/2014,25.7,0.0,True
153,0,33.3529,-117.284889,5/14/2014,25.2,0.0,True
154,0,38.664,-122.454,7/1/2014,17.5,0.0,True
155,0,38.664,-122.454,7/1/2014,17.5,0.0,True
156,0,38.5691,-120.7819,7/25/2014,27.1,0.0,True
157,0,38.5691,-120.7819,7/25/2014,27.1,0.0,True
158,0,35.7206,-118.4747,8/18/2014,28.2,0.0,True
159,0,35.70683,-118.555527,6/13/2014,22.8,0.0,True
160,0,34.169346,-117.547374,4/30/2014,26.3,0.0,True
161,0,33.1137,-117.1599,5/14/2014,27.8,0.0,True
162,0,34.1703,-117.8816,1/16/2014,19.8,0.0,True
163,0,35.642,-118.15,7/11/2014,27.3,0.0,True
164,0,41.89,-120.79,7/1/2014,25.1,0.0,True
165,0,33.003,-117.133,5/13/2014,26.1,0.0,True
166,0,41.489,-120.904,7/3/2014,23.4,0.0,True
167,0,33.417572,-117.550567,5/16/2014,22.6,0.0,True
168,0,40.7101,-122.171,9/10/2014,26.4,0.0,True
169,0,33.748,-117.601,9/12/2014,26.1,0.0,True
170,0,40.134597,-121.790183,1/2/2014,9.5,0.0,True
171,0,34.609,-120.454,5/13/2014,20.8,0.0,True
172,0,37.3433,-119.6581,8/18/2014,25.2,0.0,True
173,0,33.1109,-117.279,5/14/2014,28.8,0.0,True
174,0,40.7412,-122.946,8/24/2014,23.8,0.0,True
175,0,41.42384,-122.37432,9/15/2014,20.9,0.0,True
176,0,37.76617,-120.45087,6/4/2014,23.5,0.0,True
177,0,36.6313,-121.4819,3/19/2014,14.9,0.0,True
178,0,33.312,-117.162,5/14/2014,25.8,0.0,True
179,0,40.884415,-123.773779,1/4/2014,6.9,0.0,True
180,0,37.311915,-119.604124,9/14/2014,27.9,0.0,True
181,0,37.0,40.34,10/7/2014,23.1,0.0,True
182,0,34.267,-117.867,8/17/2014,28.1,0.0,True
183,0,37.787,-120.452,6/5/2014,25.3,0.0,True
184,0,39.113682,-120.999508,9/13/2014,26.7,0.0,True
185,0,40.009827,-122.345078,6/13/2014,24.1,0.0,True
186,0,33.078948,-116.576454,7/3/2014,23.1,0.0,True
187,0,41.134,-123.753,9/12/2014,11.6,0.0,True
188,0,34.235,-117.771,8/14/2014,25.1,0.0,True
189,0,39.1647,-122.5983,5/25/2014,21.7,0.0,True
190,0,40.6569,-122.2215,7/9/2014,30.7,0.0,True
191,0,37.7103,-120.197,6/10/2014,25.8,0.0,True
192,0,32.81,-116.49,3/8/2014,18.1,0.0,True
193,0,120.679019,38.178241,6/20/2014,,,True
194,0,37.399,-118.352,4/19/2014,17.7,0.0,True
195,0,36.8266,-119.3415,1/25/2014,14.9,0.0,True
196,0,41.507,-121.266,8/12/2014,18.1,1.1,True
197,0,38.59,-120.028,9/14/2014,17.6,0.0,True
198,0,38.058,-120.66,6/22/2014,21.7,0.07,True
199,0,39.3918,-120.0805,8/18/2014,17.8,0.0,True
200,0,37.5359,-121.5118,7/11/2014,19.7,0.0,True
201,0,40.5719,-121.3415,7/5/2014,22.0,0.0,True
202,0,36.103,-121.117,4/30/2014,22.6,0.0,True
